OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
88,TDB1-10,79558.93148,0.825566828,0.896752715,0.071185887,0.868993052,0.012288989
89,TDA2-1,101013.0254,0.778904676,0.893852115,0.114947438,0.853171684,0.019013313
90,TDA2-2,98331.26363,0.831192732,0.890429974,0.059237242,0.861448724,0.014350962
91,TDA2-3,94755.58131,0.794353664,0.893156469,0.098802805,0.859119715,0.014211641
92,TDA2-4,92073.81958,0.788109779,0.890909135,0.102799356,0.854348457,0.021392364
93,TDA2-5,102800.8665,0.692525744,0.898697555,0.206171811,0.851107226,0.029381871
94,TDA2-6,108164.39,0.750187039,0.889383852,0.139196813,0.847751617,0.020517314
95,TDA2-7,108164.39,0.80602628,0.888762891,0.082736611,0.857797458,0.017510426
96,TDA2-8,101013.0254,0.811744273,0.894619823,0.08287555,0.859446396,0.019404099
97,TDA2-9,47377.79066,0.813140273,0.862947285,0.049807012,0.842364394,0.010624879
98,TDA2-10,76877.16974,0.821975648,0.891027749,0.0690521,0.849584026,0.014021997
99,TDB2-1,206495.6536,0.845801055,0.898131907,0.052330852,0.875073992,0.009314044
100,TDB2-2,89392.05784,0.854208767,0.896114349,0.041905582,0.876006514,0.009611685
101,TDB2-3,82240.69321,0.821795821,0.8903566,0.068560779,0.868153543,0.012504207
102,TDB2-4,87604.21668,0.790441573,0.89466399,0.104222417,0.868799301,0.017717206
103,TDB2-5,101013.0254,0.834954739,0.897328913,0.062374175,0.872747718,0.010856185
104,TDB2-6,106376.5488,0.83517617,0.905737281,0.070561111,0.875956105,0.010595077
105,TDB2-7,109952.2311,0.816120923,0.910674751,0.094553828,0.86164978,0.018419908
106,TDB2-8,96543.42247,0.822548091,0.891269624,0.068721533,0.861709533,0.013637417
107,TDB2-9,107270.4694,0.798998654,0.898811102,0.099812448,0.864083201,0.017715103
108,TDB2-10,106376.5488,0.809909046,0.899280608,0.089371562,0.863340915,0.019178648
109,TDA3-1,62574.44049,0.831501842,0.889957011,0.058455169,0.868418103,0.010419699
110,TDA3-2,78665.0109,0.852185249,0.88532877,0.03314352,0.867753393,0.007809785
111,TDA3-3,89392.05784,0.851802289,0.890659571,0.038857281,0.871727738,0.009467541
112,TDA3-4,86710.29611,0.838157892,0.895760298,0.057602406,0.874085531,0.01089066
113,TDA3-5,92967.74016,0.837303996,0.89230901,0.055005014,0.872361946,0.011310054
114,TDA3-6,97437.34305,0.849694192,0.9018206,0.052126408,0.876255884,0.00904228
115,TDA3-7,102800.8665,0.857480168,0.901423037,0.043942869,0.876960386,0.008789673
116,TDA3-8,99225.1842,0.803690195,0.896068275,0.09237808,0.875044478,0.011670964
117,TDA3-9,88498.13726,0.709840477,0.90022862,0.190388143,0.870195479,0.033703847
118,TSA1-1,789331.8707,0.829603136,0.908632994,0.079029858,0.875206303,0.011544329
119,TSA1-2,100119.1048,0.834909439,0.906388044,0.071478605,0.872757571,0.014921474
120,TSA1-3,103694.7871,0.828259468,0.905429125,0.077169657,0.875924419,0.013443454
121,TSA1-4,101906.9459,0.850671887,0.896201968,0.045530081,0.879322839,0.009272587
122,TSA1-5,101013.0254,0.850210071,0.904013991,0.053803921,0.8824283,0.010108708
123,TSA1-6,95649.50189,0.860648215,0.916740537,0.056092322,0.88340491,0.009624909
124,TSA1-7,106376.5488,0.836873472,0.904000044,0.067126572,0.881670788,0.011170279
125,TSA1-8,113527.9135,0.840382278,0.9073084,0.066926122,0.878111457,0.011977363
126,TSA1-9,104588.7077,0.839940727,0.902460635,0.062519908,0.879623562,0.011923632
127,TSA1-10,96543.42247,0.841804743,0.901586235,0.059781492,0.87991425,0.011466022
128,TSA1-11,89392.05784,0.84640348,0.902921677,0.056518197,0.879934809,0.010001177
129,TSA1-12,102800.8665,0.829515219,0.902737498,0.07322228,0.879606326,0.011321924
130,TSB1-1,432657.56,0.740692794,0.907661736,0.166968942,0.87616045,0.014635029
